state,county,tract,NAME,GEO_ID,DP04_0089E,DP04_0134E,DP03_0005PE
32,003,006800,"Census Tract 68, Clark County, Nevada",1400000US32003006800,138000,825,8.0
32,003,006900,"Census Tract 69, Clark County, Nevada",1400000US32003006900,217000,721,4.9
32,003,007100,"Census Tract 71, Clark County, Nevada",1400000US32003007100,39200,803,12.8
32,003,007200,"Census Tract 72, Clark County, Nevada",1400000US32003007200,101000,828,12.0
32,003,007500,"Census Tract 75, Clark County, Nevada",1400000US32003007500,352500,980,1.5
32,003,007600,"Census Tract 76, Clark County, Nevada",1400000US32003007600,178300,836,6.9
32,003,007800,"Census Tract 78, Clark County, Nevada",1400000US32003007800,-666666666,868,6.6
32,003,004915,"Census Tract 49.15, Clark County, Nevada",1400000US32003004915,136600,1081,13.4
32,003,004919,"Census Tract 49.19, Clark County, Nevada",1400000US32003004919,161000,1375,4.8
32,003,005311,"Census Tract 53.11, Clark County, Nevada",1400000US32003005311,173000,1111,7.1
32,003,003635,"Census Tract 36.35, Clark County, Nevada",1400000US32003003635,161100,1353,7.4
32,003,003636,"Census Tract 36.36, Clark County, Nevada",1400000US32003003636,208700,1383,4.3
32,003,003637,"Census Tract 36.37, Clark County, Nevada",1400000US32003003637,137700,1146,3.5
32,003,003638,"Census Tract 36.38, Clark County, Nevada",1400000US32003003638,133800,1351,7.4
32,003,003639,"Census Tract 36.39, Clark County, Nevada",1400000US32003003639,131400,1276,9.9
32,003,003640,"Census Tract 36.40, Clark County, Nevada",1400000US32003003640,125200,1085,6.7
32,003,003641,"Census Tract 36.41, Clark County, Nevada",1400000US32003003641,139800,1187,9.5
32,003,003642,"Census Tract 36.42, Clark County, Nevada",1400000US32003003642,121000,1310,6.7
32,003,003643,"Census Tract 36.43, Clark County, Nevada",1400000US32003003643,118500,1087,6.6
32,003,003644,"Census Tract 36.44, Clark County, Nevada",1400000US32003003644,134200,962,6.5
32,003,004301,"Census Tract 43.01, Clark County, Nevada",1400000US32003004301,103600,654,12.1
32,003,004302,"Census Tract 43.02, Clark County, Nevada",1400000US32003004302,103800,670,7.6
32,003,004401,"Census Tract 44.01, Clark County, Nevada",1400000US32003004401,59200,833,8.8
32,003,004402,"Census Tract 44.02, Clark County, Nevada",1400000US32003004402,64400,751,7.4
32,003,004601,"Census Tract 46.01, Clark County, Nevada",1400000US32003004601,78900,755,12.0
32,003,004602,"Census Tract 46.02, Clark County, Nevada",1400000US32003004602,60000,771,11.5
32,003,004925,"Census Tract 49.25, Clark County, Nevada",1400000US32003004925,127800,1083,7.1
32,003,004926,"Census Tract 49.26, Clark County, Nevada",1400000US32003004926,100200,1237,5.5
32,003,005013,"Census Tract 50.13, Clark County, Nevada",1400000US32003005013,116500,1144,8.2
32,003,005014,"Census Tract 50.14, Clark County, Nevada",1400000US32003005014,91300,823,11.5
32,003,005015,"Census Tract 50.15, Clark County, Nevada",1400000US32003005015,162500,1369,3.0
32,003,005343,"Census Tract 53.43, Clark County, Nevada",1400000US32003005343,160000,879,7.2
32,003,003006,"Census Tract 30.06, Clark County, Nevada",1400000US32003003006,115000,1141,7.1
32,003,002915,"Census Tract 29.15, Clark County, Nevada",1400000US32003002915,269900,989,4.4
32,003,002954,"Census Tract 29.54, Clark County, Nevada",1400000US32003002954,16900,699,5.3
32,003,003215,"Census Tract 32.15, Clark County, Nevada",1400000US32003003215,227600,1145,7.3
32,003,003615,"Census Tract 36.15, Clark County, Nevada",1400000US32003003615,132300,975,7.6
32,003,003800,"Census Tract 38, Clark County, Nevada",1400000US32003003800,64300,614,5.5
32,003,004200,"Census Tract 42, Clark County, Nevada",1400000US32003004200,76600,863,8.7
32,003,004713,"Census Tract 47.13, Clark County, Nevada",1400000US32003004713,53100,732,12.3
32,003,004916,"Census Tract 49.16, Clark County, Nevada",1400000US32003004916,127300,1031,6.8
32,003,004920,"Census Tract 49.20, Clark County, Nevada",1400000US32003004920,97600,916,12.3
32,003,005010,"Census Tract 50.10, Clark County, Nevada",1400000US32003005010,63400,843,8.0
32,003,005011,"Census Tract 50.11, Clark County, Nevada",1400000US32003005011,107700,1017,8.4
32,003,005313,"Census Tract 53.13, Clark County, Nevada",1400000US32003005313,233800,1488,3.7
32,003,005316,"Census Tract 53.16, Clark County, Nevada",1400000US32003005316,171700,1354,7.6
32,003,005320,"Census Tract 53.20, Clark County, Nevada",1400000US32003005320,162700,1323,7.9
32,003,005501,"Census Tract 55.01, Clark County, Nevada",1400000US32003005501,162400,1176,6.4
32,003,005703,"Census Tract 57.03, Clark County, Nevada",1400000US32003005703,71700,537,3.3
32,003,006103,"Census Tract 61.03, Clark County, Nevada",1400000US32003006103,134000,873,5.1
32,003,006201,"Census Tract 62.01, Clark County, Nevada",1400000US32003006201,62200,816,16.6
32,003,002504,"Census Tract 25.04, Clark County, Nevada",1400000US32003002504,87200,806,5.0
32,003,001901,"Census Tract 19.01, Clark County, Nevada",1400000US32003001901,93800,811,11.5
32,003,002403,"Census Tract 24.03, Clark County, Nevada",1400000US32003002403,99200,652,8.6
32,003,002405,"Census Tract 24.05, Clark County, Nevada",1400000US32003002405,-888888888,724,12.8
32,003,005702,"Census Tract 57.02, Clark County, Nevada",1400000US32003005702,100100,669,9.4
32,003,005341,"Census Tract 53.41, Clark County, Nevada",1400000US32003005341,145500,1420,6.0
32,003,005612,"Census Tract 56.12, Clark County, Nevada",1400000US32003005612,78300,722,6.0
32,003,005809,"Census Tract 58.09, Clark County, Nevada",1400000US32003005809,174200,991,3.3
32,003,005811,"Census Tract 58.11, Clark County, Nevada",1400000US32003005811,241000,1264,5.5
32,003,005336,"Census Tract 53.36, Clark County, Nevada",1400000US32003005336,87600,901,6.6
32,003,005312,"Census Tract 53.12, Clark County, Nevada",1400000US32003005312,208000,1480,4.4
32,003,005335,"Census Tract 53.35, Clark County, Nevada",1400000US32003005335,197800,1182,8.1
32,003,005337,"Census Tract 53.37, Clark County, Nevada",1400000US32003005337,247200,1755,6.2
32,003,005342,"Census Tract 53.42, Clark County, Nevada",1400000US32003005342,144800,1405,8.2
32,003,005432,"Census Tract 54.32, Clark County, Nevada",1400000US32003005432,168300,1144,3.3
32,003,005502,"Census Tract 55.02, Clark County, Nevada",1400000US32003005502,277300,1088,5.0
32,003,005803,"Census Tract 58.03, Clark County, Nevada",1400000US32003005803,185600,1148,6.6
32,003,005804,"Census Tract 58.04, Clark County, Nevada",1400000US32003005804,269600,1126,6.4
32,003,005806,"Census Tract 58.06, Clark County, Nevada",1400000US32003005806,235100,1092,3.6
32,003,000203,"Census Tract 2.03, Clark County, Nevada",1400000US32003000203,152900,754,8.5
32,003,001607,"Census Tract 16.07, Clark County, Nevada",1400000US32003001607,78800,770,13.8
32,003,001708,"Census Tract 17.08, Clark County, Nevada",1400000US32003001708,120600,1142,8.7
32,003,001712,"Census Tract 17.12, Clark County, Nevada",1400000US32003001712,138500,1363,7.9
32,003,001803,"Census Tract 18.03, Clark County, Nevada",1400000US32003001803,139600,767,12.3
32,003,001804,"Census Tract 18.04, Clark County, Nevada",1400000US32003001804,107800,750,5.7
32,003,005503,"Census Tract 55.03, Clark County, Nevada",1400000US32003005503,131000,846,8.7
32,003,005421,"Census Tract 54.21, Clark County, Nevada",1400000US32003005421,77200,769,10.2
32,003,005423,"Census Tract 54.23, Clark County, Nevada",1400000US32003005423,134500,802,7.0
32,003,005433,"Census Tract 54.33, Clark County, Nevada",1400000US32003005433,183900,1137,7.7
32,003,005805,"Census Tract 58.05, Clark County, Nevada",1400000US32003005805,273100,1170,4.1
32,003,005808,"Census Tract 58.08, Clark County, Nevada",1400000US32003005808,195700,1060,5.7
32,003,005353,"Census Tract 53.53, Clark County, Nevada",1400000US32003005353,223500,1298,6.7
32,003,005354,"Census Tract 53.54, Clark County, Nevada",1400000US32003005354,251900,1089,6.2
32,003,005355,"Census Tract 53.55, Clark County, Nevada",1400000US32003005355,257900,1237,5.0
32,003,005356,"Census Tract 53.56, Clark County, Nevada",1400000US32003005356,445200,1186,6.3
32,003,005358,"Census Tract 53.58, Clark County, Nevada",1400000US32003005358,249000,1750,3.3
32,003,005504,"Census Tract 55.04, Clark County, Nevada",1400000US32003005504,247500,914,7.2
32,003,000514,"Census Tract 5.14, Clark County, Nevada",1400000US32003000514,24900,765,9.4
32,003,000510,"Census Tract 5.10, Clark County, Nevada",1400000US32003000510,80400,922,8.0
32,003,005357,"Census Tract 53.57, Clark County, Nevada",1400000US32003005357,211900,1141,2.7
32,003,005359,"Census Tract 53.59, Clark County, Nevada",1400000US32003005359,230200,1613,5.2
32,003,005360,"Census Tract 53.60, Clark County, Nevada",1400000US32003005360,213600,1093,7.4
32,003,005434,"Census Tract 54.34, Clark County, Nevada",1400000US32003005434,165200,1687,6.8
32,003,005435,"Census Tract 54.35, Clark County, Nevada",1400000US32003005435,247000,1453,9.9
32,003,005436,"Census Tract 54.36, Clark County, Nevada",1400000US32003005436,194500,1126,5.9
32,003,005437,"Census Tract 54.37, Clark County, Nevada",1400000US32003005437,365400,2033,5.4
32,003,005438,"Census Tract 54.38, Clark County, Nevada",1400000US32003005438,85400,845,7.8
32,003,005439,"Census Tract 54.39, Clark County, Nevada",1400000US32003005439,88500,847,8.3
32,003,005614,"Census Tract 56.14, Clark County, Nevada",1400000US32003005614,166100,672,9.2
32,003,005615,"Census Tract 56.15, Clark County, Nevada",1400000US32003005615,172300,950,1.2
32,003,002847,"Census Tract 28.47, Clark County, Nevada",1400000US32003002847,157400,915,6.8
32,003,002848,"Census Tract 28.48, Clark County, Nevada",1400000US32003002848,164500,1062,9.4
32,003,002964,"Census Tract 29.64, Clark County, Nevada",1400000US32003002964,70400,914,12.0
32,003,002965,"Census Tract 29.65, Clark County, Nevada",1400000US32003002965,61600,878,8.7
32,003,002966,"Census Tract 29.66, Clark County, Nevada",1400000US32003002966,70500,830,10.9
32,003,002970,"Census Tract 29.70, Clark County, Nevada",1400000US32003002970,84600,899,6.8
32,003,002967,"Census Tract 29.67, Clark County, Nevada",1400000US32003002967,96500,878,7.5
32,003,002968,"Census Tract 29.68, Clark County, Nevada",1400000US32003002968,145200,1178,4.0
32,003,002969,"Census Tract 29.69, Clark County, Nevada",1400000US32003002969,86800,993,4.1
32,003,002974,"Census Tract 29.74, Clark County, Nevada",1400000US32003002974,157100,1090,2.9
32,003,002975,"Census Tract 29.75, Clark County, Nevada",1400000US32003002975,190700,991,6.1
32,003,002976,"Census Tract 29.76, Clark County, Nevada",1400000US32003002976,175200,1131,2.4
32,003,002977,"Census Tract 29.77, Clark County, Nevada",1400000US32003002977,265300,1576,3.0
32,003,002978,"Census Tract 29.78, Clark County, Nevada",1400000US32003002978,213900,1425,4.0
32,003,002979,"Census Tract 29.79, Clark County, Nevada",1400000US32003002979,251900,1104,4.2
32,003,002983,"Census Tract 29.83, Clark County, Nevada",1400000US32003002983,181900,1398,5.2
32,003,002985,"Census Tract 29.85, Clark County, Nevada",1400000US32003002985,204000,1394,4.7
32,003,002995,"Census Tract 29.95, Clark County, Nevada",1400000US32003002995,72900,743,11.2
32,003,002980,"Census Tract 29.80, Clark County, Nevada",1400000US32003002980,172200,1324,3.3
32,003,002981,"Census Tract 29.81, Clark County, Nevada",1400000US32003002981,155300,1261,3.0
32,003,002982,"Census Tract 29.82, Clark County, Nevada",1400000US32003002982,196600,1325,4.1
32,003,000302,"Census Tract 3.02, Clark County, Nevada",1400000US32003000302,104800,716,14.2
32,003,000513,"Census Tract 5.13, Clark County, Nevada",1400000US32003000513,82600,1058,7.3
32,003,000700,"Census Tract 7, Clark County, Nevada",1400000US32003000700,260800,606,1.8
32,003,001100,"Census Tract 11, Clark County, Nevada",1400000US32003001100,347400,532,9.8
32,003,001608,"Census Tract 16.08, Clark County, Nevada",1400000US32003001608,23300,882,5.5
32,003,005106,"Census Tract 51.06, Clark County, Nevada",1400000US32003005106,208900,980,5.7
32,003,004918,"Census Tract 49.18, Clark County, Nevada",1400000US32003004918,167300,1243,9.3
32,003,004923,"Census Tract 49.23, Clark County, Nevada",1400000US32003004923,160700,958,4.0
32,003,005108,"Census Tract 51.08, Clark County, Nevada",1400000US32003005108,153900,1006,6.6
32,003,005109,"Census Tract 51.09, Clark County, Nevada",1400000US32003005109,198200,1023,3.5
32,003,005319,"Census Tract 53.19, Clark County, Nevada",1400000US32003005319,196700,1441,7.6
32,003,005613,"Census Tract 56.13, Clark County, Nevada",1400000US32003005613,207500,1005,4.9
32,003,005705,"Census Tract 57.05, Clark County, Nevada",1400000US32003005705,175200,636,5.1
32,003,005902,"Census Tract 59.02, Clark County, Nevada",1400000US32003005902,119000,823,11.9
